(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.7, 4.2)
(15.6, 4.2)
(15.6, 4.2)
(15.5, 4.2)
(15.5, 4.2)
(15.4, 4.2)
(15.4, 4.2)
(15.3, 4.2)
(15.2, 4.2)
(15.2, 4.2)
(15.1, 4.2)
(15.0, 4.2)
(14.9, 4.2)
(14.8, 4.2)
(14.7, 4.2)
(14.6, 4.2)
(14.5, 4.2)
(14.4, 4.2)
(14.3, 4.2)
(14.2, 4.2)
(14.1, 4.2)
(14.0, 4.2)
(13.9, 4.2)
(13.8, 4.2)
(13.7, 4.2)
(13.6, 4.2)
(13.5, 4.2)
(13.4, 4.2)
(13.3, 4.2)
(13.2, 4.2)
(13.1, 4.2)
(13.0, 4.2)
(12.9, 4.2)
(12.8, 4.2)
(12.7, 4.2)
(12.6, 4.2)
(12.5, 4.2)
(12.4, 4.2)
(12.3, 4.2)
(12.2, 4.1)
(12.1, 4.1)
(12.0, 4.1)
(11.9, 4.0)
(11.8, 4.0)
(11.7, 4.0)
(11.6, 3.9)
(11.5, 3.8)
(11.4, 3.8)
(11.3, 3.7)
(11.2, 3.6)
(11.1, 3.5)
(11.0, 3.4)
(10.9, 3.3)
(10.8, 3.2)
(10.7, 3.1)
(10.6, 3.0)
(10.5, 2.9)
(10.4, 2.8)
(10.3, 2.7)
(10.2, 2.6)
(10.1, 2.5)
(10.0, 2.4)
(10.0, 2.3)
(9.9, 2.2)
(9.8, 2.1)
(9.8, 2.0)
(9.9, 1.9)
(9.9, 1.8)
(9.9, 1.7)
(9.9, 1.6)
(10.0, 1.5)
(10.0, 1.4)
(10.1, 1.3)
(10.1, 1.3)
(10.2, 1.2)
(10.3, 1.1)
(10.3, 1.0)
(10.4, 1.0)
(10.5, 0.9)
(10.6, 0.9)
(10.7, 0.8)
(10.8, 0.8)
(10.9, 0.8)
(11.0, 0.8)
(11.1, 0.7)
(11.2, 0.7)
(11.3, 0.7)
(11.4, 0.7)
(11.5, 0.7)
(11.6, 0.7)
(11.7, 0.7)
(11.8, 0.7)
(11.9, 0.7)
(12.0, 0.7)
(12.1, 0.7)
(12.2, 0.7)
(12.3, 0.8)
(12.4, 0.8)
(12.5, 0.8)
(12.6, 0.9)
(12.7, 0.9)
(12.8, 1.0)
(12.9, 1.0)
(13.0, 1.1)
(13.1, 1.2)
(13.2, 1.2)
(13.3, 1.3)
(13.4, 1.4)
(13.5, 1.5)
(13.6, 1.6)
(13.7, 1.7)
(13.8, 1.8)
(13.9, 1.9)
(14.0, 2.0)
(14.1, 2.1)
(14.2, 2.2)
(14.3, 2.3)
(14.4, 2.4)
(14.5, 2.5)
(14.6, 2.6)
(14.7, 2.7)
(14.8, 2.8)
(14.9, 2.9)
(15.0, 3.0)
(15.0, 3.1)
(15.0, 3.2)
(14.9, 3.3)
(14.9, 3.4)
(14.9, 3.5)
(14.8, 3.6)
(14.8, 3.6)
(14.8, 3.7)
(14.7, 3.8)
(14.6, 3.8)
(14.6, 3.9)
(14.5, 3.9)
(14.4, 4.0)
(14.3, 4.0)
(14.2, 4.0)
(14.1, 4.1)
(14.0, 4.1)
(13.9, 4.1)
(13.8, 4.1)
(13.7, 4.1)
(13.6, 4.1)
(13.5, 4.1)
(13.4, 4.1)
(13.3, 4.1)
(13.2, 4.1)
(13.1, 4.1)
(13.0, 4.1)
(12.9, 4.1)
(12.8, 4.1)
(12.7, 4.1)
(12.6, 4.1)
(12.5, 4.1)
(12.4, 4.1)
(12.3, 4.1)
(12.2, 4.1)
(12.1, 4.0)
(12.0, 4.0)
(12.0, 4.0)
(11.9, 3.9)
(11.8, 3.9)
(11.7, 3.8)
(11.7, 3.8)
(11.6, 3.7)
(11.5, 3.7)
(11.5, 3.6)
(11.4, 3.5)
(11.4, 3.4)
(11.4, 3.3)
(11.3, 3.2)
(11.3, 3.2)
(11.3, 3.1)
(11.3, 3.1)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.0)
(11.3, 3.1)
(11.3, 3.1)
(11.3, 3.2)
(11.3, 3.2)
(11.3, 3.3)
(11.3, 3.4)
(11.3, 3.4)
(11.3, 3.5)
(11.3, 3.6)
(11.3, 3.7)
(11.3, 3.7)
(11.3, 3.8)
(11.3, 3.8)
(11.3, 3.9)
(11.3, 3.9)
(11.3, 3.9)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
(11.3, 4.0)
